	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	Sulfur_id	kegg_genes_id	ko_id	kegg_hit	kegg_RBH	kegg_identity	kegg_bitScore	kegg_eVal	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_40	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	40	43757	43987	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_41	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	41	44180	45241	-1	C		rhz:RHPLAN_55580	K02051	rhz:RHPLAN_55580 (K02051) ABC.SN.S; NitT/TauT family transport system substrate-binding protein	FALSE	0.464	287	2.73E-82								NMT1-like family [PF13379.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_42	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	42	45257	46684	-1	C		pstg:E8M01_10080	K12960	pstg:E8M01_10080 (K12960) mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]	FALSE	0.509	445	9.17E-135	MER0273526	M38	MER0273526 - family M38 non-peptidase homologues (Paenibacillus mucilaginosus) [M38.UNW]#M38#{peptidase unit: 21-381}~source YP_004639285~	FALSE	0.314	179	4.05E-46	Amidohydrolase family [PF01979.23]; Amidohydrolase family [PF07969.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_43	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	43	46842	47321	1	C		cwo:Cwoe_5596		cwo:Cwoe_5596 ()	FALSE	0.604	154	7.23E-40								Endoribonuclease L-PSP [PF01042.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_44	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	44	47286	47669	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_45	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	45	47694	49259	-1	C		rhz:RHPLAN_51270	K01897	"rhz:RHPLAN_51270 (K01897) ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]"	FALSE	0.465	430	1.11E-128								AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_46	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	46	49355	50092	1	C		sti:Sthe_3494		sti:Sthe_3494 ()	FALSE	0.415	160	2.68E-40								"FCD domain [PF07729.15]; Bacterial regulatory proteins, gntR family [PF00392.24]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_47	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	47	50089	50970	1	C		gxy:GLX_00720		gxy:GLX_00720 ()	FALSE	0.444	234	4.53E-65								Glyoxalase-like domain [PF13468.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_48	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	48	50970	52538	1	C		psin:CAK95_01410		psin:CAK95_01410 ()	FALSE	0.537	507	2.57E-155								3-octaprenyl-4-hydroxybenzoate carboxy-lyase [PF01977.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_49	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	49	52606	53610	1	C		mtw:CQW49_21565		mtw:CQW49_21565 ()	FALSE	0.542	344	3.08E-102								Zinc-binding dehydrogenase [PF00107.29]; Alcohol dehydrogenase GroES-like domain [PF08240.15]; Zinc-binding dehydrogenase [PF13602.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_50	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	50	53733	54704	1	A		fer:FNB15_15350	K07795	fer:FNB15_15350 (K07795) tctC; putative tricarboxylic transport membrane protein	TRUE	0.6	372	2.11E-112								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_51	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	51	54925	55077	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_52	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	52	55176	55370	-1	C		bqb:J4P68_0024035		bqb:J4P68_0024035 ()	FALSE	0.483	62	1.46E-09													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_53	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	53	55897	57234	1	A		sus:Acid_3075		sus:Acid_3075 ()	TRUE	0.523	436	3.72E-132								MmgE/PrpD N-terminal domain [PF03972.17]; MmgE/PrpD C-terminal domain [PF19305.2]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_54	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	54	57244	57987	1	C		tso:IZ6_19760	K00059	"tso:IZ6_19760 (K00059) fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	FALSE	0.467	211	5.87E-58								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_55	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	55	58031	59059	1	C		svc:STVA_12240	K03392	svc:STVA_12240 (K03392) ACMSD; aminocarboxymuconate-semialdehyde decarboxylase [EC:4.1.1.45]	FALSE	0.465	280	3.66E-80								Amidohydrolase [PF04909.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_56	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	56	59155	59601	1	C		svd:CP969_31050		svd:CP969_31050 ()	FALSE	0.379	75	1.35E-12								Endoribonuclease L-PSP [PF01042.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_57	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	57	59781	60632	1	C		cthm:CFE_1732	K01644	cthm:CFE_1732 (K01644) citE; citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	FALSE	0.391	186	1.17E-48								HpcH/HpaI aldolase/citrate lyase family [PF03328.17]; C-C_Bond_Lyase of the TIM-Barrel fold [PF15617.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_58	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	58	60638	61780	1	A		boh:AKI39_13440		boh:AKI39_13440 ()	TRUE	0.7	534	2.44E-167								"Acyl-CoA dehydrogenase, C-terminal domain [PF00441.27]; Acyl-CoA dehydrogenase, middle domain [PF02770.22]; Acyl-CoA dehydrogenase, N-terminal domain [PF02771.19]; Acyl-CoA dehydrogenase, C-terminal domain [PF08028.14]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_59	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	59	61793	62983	1	C		sti:Sthe_3003	K07749	sti:Sthe_3003 (K07749) frc; formyl-CoA transferase [EC:2.8.3.16]	FALSE	0.48	349	6.42E-103								CoA-transferase family III [PF02515.20]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_60	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	60	63153	63602	1	C		taq:TO73_0970		taq:TO73_0970 ()	FALSE	0.568	159	7.76E-42								MaoC like domain [PF01575.22]; N-terminal half of MaoC dehydratase [PF13452.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_61	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	61	63765	64778	1	C		moc:BB934_36870		moc:BB934_36870 ()	FALSE	0.475	279	5.63E-80								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_62	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	62	64915	65898	1	C		cpau:EHF44_23560		cpau:EHF44_23560 ()	FALSE	0.509	292	1.67E-84								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_63	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	63	65951	66946	1	C		rta:Rta_16700		rta:Rta_16700 ()	FALSE	0.495	294	4.09E-85								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_64	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	64	66983	67774	1	C		rhz:RHPLAN_25860	K01061	rhz:RHPLAN_25860 (K01061) E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	FALSE	0.484	226	5.37E-63	MER0070621	S09X	MER0070621 - family S9 non-peptidase homologues (Rhodopseudomonas palustris) [S09.UNW]#S09X#{peptidase unit: 17-238}~source YP_487766~	FALSE	0.381	149	2.86E-38	Dienelactone hydrolase family [PF01738.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_65	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	65	67864	68865	1	C		bbh:BN112_1607		bbh:BN112_1607 ()	FALSE	0.363	188	1.01E-48								Tripartite tricarboxylate transporter family receptor [PF03401.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_66	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	66	68909	70348	-1	C		cwo:Cwoe_3893		cwo:Cwoe_3893 ()	FALSE	0.326	74	3.64E-10								Endoribonuclease L-PSP [PF01042.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_67	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	67	70520	71689	1	A		xdi:EZH22_01135	K01999	xdi:EZH22_01135 (K01999) livK; branched-chain amino acid transport system substrate-binding protein	TRUE	0.551	369	4.04E-110								Periplasmic binding protein [PF13458.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_68	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	68	71727	72602	1	C		svc:STVA_15170	K01997	svc:STVA_15170 (K01997) livH; branched-chain amino acid transport system permease protein	FALSE	0.508	277	4.30E-80								Branched-chain amino acid transport system / permease component [PF02653.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_69	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	69	72604	73620	1	C		svc:STVA_15160	K01998	svc:STVA_15160 (K01998) livM; branched-chain amino acid transport system permease protein	FALSE	0.537	326	4.98E-96								Branched-chain amino acid transport system / permease component [PF02653.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_70	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	70	73617	74396	1	C		stel:STAQ_15820	K01995	stel:STAQ_15820 (K01995) livG; branched-chain amino acid transport system ATP-binding protein	FALSE	0.58	287	4.35E-84								ABC transporter [PF00005.30]; Branched-chain amino acid ATP-binding cassette transporter [PF12399.11]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_71	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	71	74380	75084	1	C		stel:STAQ_15810	K01996	stel:STAQ_15810 (K01996) livF; branched-chain amino acid transport system ATP-binding protein	FALSE	0.553	248	6.90E-71								ABC transporter [PF00005.30]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_72	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	72	75113	75805	1	C		cak:Caul_5021	K01061	cak:Caul_5021 (K01061) E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	FALSE	0.417	171	1.74E-44	MER0116508	S09X	MER0116508 - family S9 non-peptidase homologues (Caulobacter sp. K31) [S09.UNW]#S09X#{peptidase unit: 3-225}~source ABZ74141~	FALSE	0.412	162	1.57E-43	Dienelactone hydrolase family [PF01738.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_73	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	73	75837	76565	1	C		stel:STAQ_48420	K01061	stel:STAQ_48420 (K01061) E3.1.1.45; carboxymethylenebutenolidase [EC:3.1.1.45]	FALSE	0.367	135	6.11E-32	MER0089494	S09X	MER0089494 - family S9 non-peptidase homologues (Burkholderia vietnamiensis) [S09.UNW]#S09X#{peptidase unit: 6-223}~source ABO59358~	FALSE	0.353	124	3.39E-30	Dienelactone hydrolase family [PF01738.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_74	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	74	76597	77388	1	C		vgo:GJW-30_1_04259		vgo:GJW-30_1_04259 ()	FALSE	0.403	151	6.61E-37								"FCD domain [PF07729.15]; Bacterial regulatory proteins, gntR family [PF00392.24]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_75	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	75	77409	79142	-1	A		rbm:TEF_13525	K01474	rbm:TEF_13525 (K01474) hyuB; N-methylhydantoinase B [EC:3.5.2.14]	TRUE	0.62	697	5.07E-220								Hydantoinase B/oxoprolinase [PF02538.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_76	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	76	79132	81246	-1	A		bof:FQV39_09925	K01473	bof:FQV39_09925 (K01473) hyuA; N-methylhydantoinase A [EC:3.5.2.14]	TRUE	0.53	687	2.43E-214								Hydantoinase/oxoprolinase [PF01968.21]; Hydantoinase/oxoprolinase N-terminal region [PF05378.16]; Hydantoinase/oxoprolinase C-terminal domain [PF19278.2]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_77	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	77	81316	82194	-1	A		dea:FPZ08_20195		dea:FPZ08_20195 ()	TRUE	0.66	381	5.41E-116								beta-keto acid cleavage enzyme [PF05853.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_78	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	78	82375	83703	1	A		svc:STVA_35940	K01845	"svc:STVA_35940 (K01845) hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]"	TRUE	0.574	482	2.71E-148								Aminotransferase class-III [PF00202.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_79	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	79	83716	84501	1	C		ncb:C0V82_22430	K00059	"ncb:C0V82_22430 (K00059) fabG, OAR1; 3-oxoacyl-[acyl-carrier protein] reductase [EC:1.1.1.100]"	FALSE	0.467	214	8.32E-59								Enoyl-(Acyl carrier protein) reductase [PF13561.9]; short chain dehydrogenase [PF00106.28]; KR domain [PF08659.13]; NAD dependent epimerase/dehydratase family [PF01370.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_80	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	80	84557	85186	1	C		mee:DA075_16045		mee:DA075_16045 ()	FALSE	0.555	211	1.22E-58								Flavin reductase like domain [PF01613.21]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_81	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	81	85247	86224	-1	C		vgo:GJW-30_1_00448	K02051	vgo:GJW-30_1_00448 (K02051) ABC.SN.S; NitT/TauT family transport system substrate-binding protein	FALSE	0.471	275	1.11E-78								"NMT1-like family [PF13379.9]; NMT1/THI5 like [PF09084.14]; ABC transporter, phosphonate, periplasmic substrate-binding protein [PF12974.10]"					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_82	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	82	86918	87196	1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_83	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	83	87466	88092	1	C		rhz:RHPLAN_20210		rhz:RHPLAN_20210 ()	FALSE	0.682	246	1.08E-70													2
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_84	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	84	88391	88999	1	C		rhz:RHPLAN_14550	K16079	rhz:RHPLAN_14550 (K16079) omp31; outer membrane immunogenic protein	FALSE	0.561	221	2.53E-62								Outer membrane protein beta-barrel domain [PF13505.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_85	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	85	89185	89856	1	C		rhz:RHPLAN_49590	K16079	rhz:RHPLAN_49590 (K16079) omp31; outer membrane immunogenic protein	FALSE	0.502	209	1.06E-57								Outer membrane protein beta-barrel domain [PF13505.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_86	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	86	89934	90941	-1	A		rhz:RHPLAN_08630	K03306	"rhz:RHPLAN_08630 (K03306) TC.PIT; inorganic phosphate transporter, PiT family"	TRUE	0.763	518	9.60E-163								Phosphate transporter family [PF01384.23]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_87	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	87	91046	91690	-1	C		psin:CAK95_13150	"K07220,K07220"	psin:CAK95_13150 (K07220) K07220; uncharacterized protein	FALSE	0.711	308	3.37E-92								Protein of unknown function DUF47 [PF01865.19]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_88	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	88	91877	92371	-1	C		oco:OCA4_c08440		oco:OCA4_c08440 ()	FALSE	0.58	179	2.12E-48													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_89	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	89	92499	93263	1	C		boi:BLM15_13130	"K07090,K07090"	boi:BLM15_13130 (K07090) K07090; uncharacterized protein	FALSE	0.524	251	9.46E-72								Sulfite exporter TauE/SafE [PF01925.22]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_90	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	90	93380	93946	-1	C		rhz:RHPLAN_42570		rhz:RHPLAN_42570 ()	FALSE	0.692	228	6.45E-65								Haem degrading protein HbpS-like [PF03928.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_91	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	91	94033	95037	1	A		rhz:RHPLAN_09600		rhz:RHPLAN_09600 ()	TRUE	0.615	364	1.81E-109								NMT1-like family [PF13379.9]; NMT1/THI5 like [PF09084.14]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4569067_92	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4569067	92	95246	96634	-1	A		blas:BSY18_1790		blas:BSY18_1790 ()	TRUE	0.538	457	3.27E-139													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_1	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	1	3	680	1	A		brad:BF49_0085	K00992	brad:BF49_0085 (K00992) murU; N-acetyl-alpha-D-muramate 1-phosphate uridylyltransferase [EC:2.7.7.99]	TRUE	0.846	396	2.25E-122								Nucleotidyl transferase [PF00483.26]; MobA-like NTP transferase domain [PF12804.10]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_2	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	2	938	4081	1	A		nha:Nham_0057	K16899	nha:Nham_0057 (K16899) addB; ATP-dependent helicase/nuclease subunit B [EC:5.6.2.4 3.1.-.-]	TRUE	0.713	1491	0								PD-(D/E)XK nuclease superfamily [PF12705.10]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_3	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	3	4078	7596	1	A		brk:CWS35_05575	K16898	brk:CWS35_05575 (K16898) addA; ATP-dependent helicase/nuclease subunit A [EC:5.6.2.4 3.1.-.-]	TRUE	0.715	1670	0								UvrD/REP helicase N-terminal domain [PF00580.24]; UvrD-like helicase C-terminal domain [PF13361.9]; AAA domain [PF13245.9]; PD-(D/E)XK nuclease superfamily [PF12705.10]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_4	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	4	7682	8002	1	C		bsep:HAP48_0016105	K03671	bsep:HAP48_0016105 (K03671) trxA; thioredoxin 1	FALSE	0.956	215	3.45E-62								Thioredoxin [PF00085.23]; Redoxin [PF08534.13]; Thioredoxin-like [PF13905.9]; Thioredoxin-like [PF13899.9]; AhpC/TSA family [PF00578.24]; Thioredoxin domain [PF13192.9]; Thioredoxin-like domain [PF13098.9]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_5	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	5	8127	9137	1	A		brad:BF49_0089		brad:BF49_0089 ()	TRUE	0.82	569	3.12E-180								ATP dependent DNA ligase domain [PF01068.24]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_6	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	6	9276	10595	-1	A		bic:LMTR13_00580	K11754	bic:LMTR13_00580 (K11754) folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]	TRUE	0.798	715	1.16E-228								Mur ligase middle domain [PF08245.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4628556_7	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4628556	7	10616	10840	-1	C		brq:CIT40_31690	K01963	brq:CIT40_31690 (K01963) accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15]	FALSE	0.692	105	1.59E-24													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_1	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	1	555	2636	-1	C		tlo:J9253_04615		tlo:J9253_04615 ()	FALSE	0.343	170	1.57E-39								Leucine-rich repeat [PF14580.9]; Leucine Rich repeats (2 copies) [PF12799.10]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_2	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	2	2946	3242	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_3	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	3	3461	4144	-1	A		mno:Mnod_8668	K03780	mno:Mnod_8668 (K03780) ttdB; L(+)-tartrate dehydratase beta subunit [EC:4.2.1.32]	TRUE	0.787	354	5.86E-108								Fumarase C-terminus [PF05683.15]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_4	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	4	4141	5100	-1	A		mno:Mnod_8669	K03779	mno:Mnod_8669 (K03779) ttdA; L(+)-tartrate dehydratase alpha subunit [EC:4.2.1.32]	TRUE	0.879	585	4.79E-186								Fumarate hydratase (Fumerase) [PF05681.17]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_5	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	5	5111	6844	-1	A		mno:Mnod_8670	K00244	mno:Mnod_8670 (K00244) frdA; fumarate reductase flavoprotein subunit [EC:1.3.5.4]	TRUE	0.798	936	8.82E-303								FAD binding domain [PF00890.27]; Fumarate reductase flavoprotein C-term [PF02910.23]					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_6	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	6	6811	7245	-1	E																					0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_7	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	7	7270	7782	1	C		cak:Caul_1371		cak:Caul_1371 ()	FALSE	0.696	217	1.97E-61													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_8	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	8	7832	8194	-1	C		mno:Mnod_8671	K00247	mno:Mnod_8671 (K00247) frdD; fumarate reductase subunit D	FALSE	0.558	113	3.28E-26													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_9	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	9	8191	8520	-1	C		mno:Mnod_8672	K00246	mno:Mnod_8672 (K00246) frdC; fumarate reductase subunit C	FALSE	0.653	141	3.55E-36													0
CP_L1_S2_prok_bin.128_CP_L1_S2_prok_bin.128_k127_4668094_10	CP_L1_S2_prok_bin.128	CP_L1_S2_prok_bin.128_k127_4668094	10	8517	9239	-1	A		mno:Mnod_8673	K00245	mno:Mnod_8673 (K00245) frdB; fumarate reductase iron-sulfur subunit [EC:1.3.5.4]	TRUE	0.763	367	4.42E-112								2Fe-2S iron-sulfur cluster binding domain [PF13085.9]; 4Fe-4S dicluster domain [PF13183.9]; 4Fe-4S dicluster domain [PF13534.9]					1
